Article_ID;DOI;Year;Authors;Title;Journal;Volume_pages;Species;Organ/material;Corpus_status;Chemical_scope;Key_result;Source_file;Genus_count_master;Species_count_master;Taxonomic_unit_count_master;Organ_primary_count_master;Presence_record_count_master;Chemical_entity_count_master;Exact_structure_count_master;Chemical_domain_count_master;Chemical_class_count_master
L17;10.1002/HLCA.200900086;2009;Nakashima et al.;Novel flavonoids in dragon's blood of Daemonorops draco;Helvetica Chimica Acta;92:1999-2008;Daemonorops draco (WCVP: Unplaced destination);Commercial resin;Include - taxonomic limitation;Isolation / structure elucidation;"Thirteen compounds isolated; six new natural products or first natural occurrence";Helvetica Chimica Acta - 2009 - Nakashima - Novel Flavonoids in Dragon s Blood of Daemonorops draco.pdf;0;0;1;1;13;13;3;1;2
L18;10.1080/14786410902809229;2009;Escalante-Erosa et al.;Skimmiwallinin, an additional skimmiwallinol derivative from the cuticular wax of Cocos nucifera;Natural Product Research;23(10):948-952;Cocos nucifera;Leaf pinnae cuticular wax;Include;Isolation / GC-MS / NMR comparison;"Skimmiwallinin newly reported from coconut wax; three known major wax components also confirmed";escalante-erosa2009.pdf;1;1;1;1;4;4;0;1;1
L19;10.1016/j.phytochem.2009.06.006;2009;Lin et al.;Neural cell protective compounds isolated from Phoenix hanceana var. formosana;Phytochemistry;70:1173-1181;Phoenix hanceana var. formosana -> Phoenix loureiroi;Leaves;Include;Isolation / spectral comparison;"Ten flavonoids isolated; three showed neuroprotective activity";1-s2.0-S0031942209002428-main.pdf;1;1;1;1;10;10;6;1;3
L20;10.1016/j.jchromb.2005.09.026;2005;Ge et al.;Identification of kinetin and kinetin riboside in coconut water using LC-MS/MS, HPLC and capillary electrophoresis;Journal of Chromatography B;829:26-34;Cocos nucifera;Young fruit liquid endosperm (coconut water);Include;Targeted identification / quantification;First report of kinetin and kinetin riboside in fresh young coconut water;1-s2.0-S1570023205006677-main.pdf;1;1;1;1;2;2;2;1;1
L21;10.1016/S0031-9422(98)00016-8;1998;Holdsworth, Jones & Self;Volatile Alkaloids from Areca catechu;Phytochemistry;48(3):581-582;Areca catechu;Seeds of green immature fruits;Include;GC-MS profile of volatile bases;"Eight volatile bases account for about 98% of the isolated mixture; arecoline is predominant";1-s2.0-S0031942298000168-main.pdf;1;1;1;1;8;8;6;1;2
L22;"10.1002/(SICI)1099-1565(199909/10)10:5<247::AID-PCA465>3.0.CO;2-9";1999;Tsuchiya et al.;Quantitative Analysis of all Types of beta-Carboline Alkaloids in Medicinal Plants and Dried Edible Plants by High Performance Liquid Chromatography with Selective Fluorometric Detection;Phytochemical Analysis;10:247-253;Areca catechu;Commercial dried medicinal seed material;Include;Validated targeted HPLC-fluorescence;"Norharman and harman detected at ng/g dry-weight levels; six other target beta-carbolines not detected";Phytochemical Analysis - 1999 - Tsuchiya - Quantitative analysis of all types of  ‐carboline alkaloids in medicinal plants.pdf;1;1;1;1;2;2;2;1;1
L23;10.1021/OL015985J;2001;Lee et al.;A Novel Cyclooxygenase-Inhibitory Stilbenolignan from the Seeds of Aiphanes aculeata;Organic Letters;3(14):2169-2171;Aiphanes aculeata -> Aiphanes horrida;Seeds;Include;Isolation / structure elucidation;Aiphanol, a new stilbenolignan, and three known phenolics were isolated;ol015985j.pdf;1;1;1;1;4;4;4;1;3
L24;10.1021/JF0103976;2001;Ishrud et al.;Isolation and Structure Analysis of a Glucomannan from the Seeds of Libyan Dates;Journal of Agricultural and Food Chemistry;49:3772-3774;Phoenix dactylifera;Seeds of dry Bikrari dates;Include;Polysaccharide isolation / structural analysis;An acetylated high-molecular-weight glucomannan and an acidic arabinogalactan-rich fraction were characterized;jf0103976.pdf;1;1;1;1;2;2;0;1;1
L25;10.1016/S0896-8446(01)00110-3;2002;Catchpole et al.;Supercritical extraction of herbs I: Saw Palmetto, St John's Wort, Kava Root, and Echinacea;Journal of Supercritical Fluids;22:129-138;Serenoa repens;Dried whole berries;Include;Supercritical extraction / GC composition;Ten fatty acids and beta-sitosterol were measured in three saw-palmetto extracts;1-s2.0-S0896844601001103-main.pdf;1;1;1;1;11;11;8;2;2
L26;10.1021/NP020264U;2002;Jensen et al.;An Antiplasmodial Lignan from Euterpe precatoria;Journal of Natural Products;65:1915-1917;Euterpe precatoria;Roots;Include;Isolation / structure elucidation;Racemic dehydrodiconiferyl alcohol dibenzoate was reported as a new natural product with p-hydroxybenzoic acid;np020264u.pdf;1;1;1;1;2;2;2;1;2
L27;10.1016/J.PHYTOCHEM.2004.02.026;2004;El-Dib et al.;Sablacaurin A and B, two 19-nor-3,4-seco-lanostane-type triterpenoids from Sabal causiarum and Sabal blackburniana, respectively;Phytochemistry;65:1153-1157;"Sabal causiarum; Sabal blackburniana -> Sabal palmetto; Sabal peregrina -> Sabal yapa";Leaves;Include;Isolation / structure elucidation;Two new seco-lanostane triterpenoids and four known lipids or triterpenoids were isolated from three Sabal species;1-s2.0-S0031942204001037-main.pdf;1;3;3;1;6;6;3;1;2
L29;10.1021/JF050579Q;2005;Al-Farsi et al.;Comparison of Antioxidant Activity, Anthocyanins, Carotenoids, and Phenolics of Three Native Fresh and Sun-Dried Date (Phoenix dactylifera L.) Varieties Grown in Oman;Journal of Agricultural and Food Chemistry;53:7592-7599;Phoenix dactylifera;Mature fruits, fresh and sun-dried;Include;Targeted phenolic-acid profiling and class metrics;"Nine unique phenolic acids were tentatively identified across free and bound fractions; anthocyanins, carotenoids and total phenolics were measured";jf050579q.pdf;1;1;1;1;13;9;9;1;1
L30;10.1021/NP960552O;1997;Shimada et al.;Biologically Active Acylglycerides from the Berries of Saw-Palmetto (Serenoa repens);Journal of Natural Products;60:417-418;Serenoa repens;Commercial dried berry powder;Include;Isolation / spectral identification;1-Monolaurin and 1-monomyristin were isolated and identified;np960552o.pdf;1;1;1;1;2;2;2;1;1
L31;10.1016/0305-1978(94)90088-4;1994;Harborne, Saito & Detoni;Anthocyanins of Cephaelis, Cynomorium, Euterpe, Lavatera and Pinanga;Biochemical Systematics and Ecology;22(8):835-836;"Euterpe edulis; Pinanga polymorpha";Fresh fruits;Include;Pigment isolation / chromatographic identification;Cyanidin 3-glucoside and cyanidin 3-rutinoside were identified in both palm fruits;1-s2.0-0305197894900884-main.pdf;2;2;2;1;4;2;0;1;1
L32;10.1021/NP50119A013;1995;Kubo, Yokokawa & Kinst-Hori;Tyrosinase Inhibitors from Bolivian Medicinal Plants;Journal of Natural Products;58(5):739-743;Scheelea princeps -> Attalea phalerata;Roots;Include;Bioassay-guided isolation / spectral comparison;4-Hydroxybenzoic acid was the only active compound isolated from the palm root extract;np50119a013.pdf;1;1;1;1;1;1;1;1;1
L33;10.1016/0031-9422(95)00173-5;1995;Garcia et al.;Triterpene Methyl Ethers from Palmae Epicuticular Waxes;Phytochemistry;39(6):1381-1382;"Orbignya phalerata -> Attalea speciosa; O. speciosa -> A. speciosa; O. cohune -> A. cohune; Arecastrum romanzoffianum -> Syagrus romanzoffiana; Butia capitata";Leaf epicuticular wax;Include;Wax fractionation / GC-MS / limited NMR;Cylindrin and lupeol methyl ether were detected, and 3-beta-methoxy-lupane was reported as new;1-s2.0-0031942295001735-main.pdf;2;3;3;1;5;3;1;1;1
L34;10.1007/BF02896679;1996;Ziouti et al.;Phenolic Compounds in Date Palm Cultivars Sensitive and Resistant to Fusarium oxysporum;Biologia Plantarum;38(3):451-457;Phoenix dactylifera;Leaves and roots;Include;Targeted HPLC/TLC phenolic profiling;Flavan-3-ols, flavonol glycosides and five caffeoylshikimic-acid forms were identified;BP_bpl-199603-0023.pdf;1;1;1;2;12;12;3;1;3
L35;10.1016/0021-9673(95)00734-2;1996;De Swaef & Vlietinck;Simultaneous Quantitation of Lauric Acid and Ethyl Laureate in Sabal serrulata by Capillary Gas Chromatography and Derivatisation with Trimethyl Sulphoniumhydroxide;Journal of Chromatography A;719:479-482;Sabal serrulata -> Serenoa repens;Commercial ethanolic fruit extract;Include;Validated targeted GC-FID / extract profile;"Lauric acid and ethyl laurate were quantified; six free-fatty-acid/ethyl-ester pairs were visible in the extract profile";1-s2.0-0021967395007342-main.pdf;1;1;1;1;12;12;12;1;2
L36;10.1002/JCCS.199600013;1996;Ma et al.;Tannins from Betel Nuts;Journal of the Chinese Chemical Society;43:77-81;Areca catechu;Fresh embryos from unripe nuts;Include;Isolation / NMR / FAB-MS / thiolysis;Thirteen plant procyanidins or monomers were isolated, including three new higher oligomers;J Chinese Chemical Soc - February 1996 - Ma - Tannins from Betel Nuts.pdf;1;1;1;1;13;13;8;1;3
L37;10.1007/BF01920724;1996;Hocart & Fankhauser;Betel Nut Residues in Archaeological Samples of Human Teeth from the Mariana Islands;Experientia;52:281-285;Areca catechu;"Whole betel nut reference material; archaeological residues";Include;GC-EI-MS / selected-ion monitoring;"Four alkaloids were identified in whole nut; only arecaidine and guvacine were found in spittal and stained teeth";BF01920724.pdf;1;1;1;1;4;4;4;1;1
L38;"10.1002/(SICI)1097-0045(199605)28:5<300::AID-PROS5>3.0.CO;2-F";1996;Weisser et al.;Effects of the Sabal serrulata Extract IDS 89 and Its Subfractions on 5-alpha-Reductase Activity in Human Benign Prostatic Hyperplasia;The Prostate;28:300-306;Sabal serrulata -> Serenoa repens;Commercial standardized ethanolic fruit extract IDS 89;Include;GC fatty-acid composition / enzyme assay;Four major fatty acids accounted for more than 90% of the extract fatty-acid fraction;The Prostate - May 1996 - Weisser - Effects of the Sabal serrulata extract IDS 89 and its subfractions on 5 -reductase.pdf;1;1;1;1;4;4;4;1;1
L39;10.1021/JF950611O;1996;Wang & Lee;Separation, Characteristics, and Biological Activities of Phenolics in Areca Fruit;Journal of Agricultural and Food Chemistry;44:2014-2019;Areca catechu;Whole fresh unripe fruit;Include;Phenolic fractionation / HPLC / class assays;"Catechin and epicatechin were identified; four phenolic classes were quantified";jf950611o.pdf;1;1;1;1;2;2;0;1;1
L40;10.1021/JF960547Q;1997;Wang, Lee & Peng;Contents of Phenolics and Alkaloids in Areca catechu Linn. during Maturation;Journal of Agricultural and Food Chemistry;45:1185-1188;Areca catechu;Root, vegetative and reproductive organs, fruits;Include;Validated targeted HPLC / phenolic class assays;Four alkaloids were quantified across eleven organ or developmental contexts;jf960547q.pdf;1;1;1;5;39;4;4;1;1
L41;10.1016/0031-9422(74)85033-8;1974;Piozzi et al.;Diterpenoid Resin Acids of Daemonorops draco;Phytochemistry;13:2231-2233;Daemonorops draco -> unresolved WCVP destination;Commercial fruit-surface resin (dragon's blood);Include - taxonomic limitation;GC/GC-MS resin-acid profiling;"Five diterpenoid acids were reported; sandaracopimaric acid was tentative";1-s2.0-0031942274850338-main.pdf;0;0;1;1;5;5;5;1;1
L42;10.1016/S0008-6215(00)81325-7;1973;El Sayed Amin & Paleologou;A Study of the Polysaccharides of the Kernel and Endocarp of the Fruit of the Doum Palm (Hyphaene thebaica);Carbohydrate Research;27:447-450;Hyphaene thebaica;Kernel and woody endocarp;Include;Classical polysaccharide isolation and linkage analysis;Kernel mannan/cellulose and endocarp xylan/cellulose were characterized;1-s2.0-S0008621500813257-main.pdf;1;1;1;2;4;3;0;1;1
L43;10.1016/S0031-9422(00)85122-5;1966;Bennett, Ko & Heftmann;Isolation of Estrone and Cholesterol from the Date Palm, Phoenix dactylifera L.;Phytochemistry;5:231-235;Phoenix dactylifera;Seeds and pollen;Include;Isolation / TLC / IR / chemical transformation;Estrone was supported in seeds and pollen and cholesterol was isolated from pollen;1-s2.0-S0031942200851225-main.pdf;1;1;1;2;3;2;2;1;1
L44;10.1139/V61-180;1961;Mukherjee, Choudhury & Bagchi;Constitution of the Galactomannan from the Kernel of Green Palmyra Palm Nut (Borassus flabellifer Linn.);Canadian Journal of Chemistry;39:1408-1418;Borassus flabellifer;Soft kernel of green nut;Include;Polysaccharide isolation / methylation / periodate oxidation / partial hydrolysis;A branched galactomannan with a beta-(1->4)-mannan backbone and alpha-galactosyl branches was characterized;mukherjee-et-al-2011-constitution-of-the-galactomannan-from-the-kernel-of-green-palmyra-palm-nut-(borassus-flabellifer.pdf;1;1;1;1;1;1;0;1;1
L45;10.1002/ARDP.19893220211;1989;Hiermann;Über Inhaltsstoffe von Sabalfrüchten und deren Prüfung auf entzündungshemmende Wirkung;Archiv der Pharmazie;322:111-114;Sabal serrulata -> Serenoa repens;Fruits / fruit drug;Include;Isolation of sterols, acylsterol glycosides and flavonoids;Nine beta-sitosterol forms and four flavonoid glycosides were directly reported;Archiv der Pharmazie - 1989 - Hiermann - ber Inhaltsstoffe von Sabalfr chten und deren Pr fung auf entz ndungshemmende.pdf;1;1;1;1;13;13;6;2;3
L46;10.1093/AJCN/49.5.849;1989;Mariath, Lima & Santos;Vitamin A Activity of Buriti (Mauritia vinifera Mart.) and Its Effectiveness in the Treatment and Prevention of Xerophthalmia;American Journal of Clinical Nutrition;49:849-853;"Mauritia vinifera -> Mauritia flexuosa; Elaeis guineensis";Fruit oil, processed fruit sweet and comparator red-palm fruit oil;Include;Carotenoid separation/quantitation and food-composition analysis;"Buriti fruit oil contained 304,000 microgram beta-carotene/100 g; red-palm oil was directly measured as comparator";mariath1989.pdf;2;2;2;1;3;2;2;1;1
L47;10.1007/BF03183920;1990;Blicher-Mathiesen & Balslev;Attalea colenda (Arecaceae), a Potential Lauric Oil Resource;Economic Botany;44(3):360-368;Attalea colenda;Seed/kernel oil;Include;Oil-content and fatty-acid composition report;"Eight fatty acids were tabulated; lauric acid represented 47.2% of kernel-oil fatty acids";BF03183920.pdf;1;1;1;1;8;8;8;1;1
L48;10.1039/P19900002637;1990;Arnone, Nasini & Merlini;Constituents of 'Dragon's Blood.' Part 4. Dracoflavan A, a Novel Secotriflavanoid;Journal of the Chemical Society, Perkin Transactions 1;2637-2640;Daemonorops draco -> unresolved WCVP destination;Commercial fruit-surface resin (dragon's blood);Include - taxonomic limitation;Isolation and full structure elucidation;Dracoflavan A was reported as a new secotriflavonoid;arnone1990.pdf;0;0;1;1;1;1;0;1;1
L50;10.1016/0031-9422(93)85343-P;1993;Moore, Isidoro & Seemann;Distribution of 2-Carboxyarabinitol among Plants;Phytochemistry;34(3):703-707;Chamaedorea seifrizii;Mature leaf;Include;Isotope-dilution metabolite assay;2-Carboxyarabinitol was measured at 23 nmol/g fresh weight in Chamaedorea seifrizii;1-s2.0-003194229385343P-main.pdf;1;1;1;1;1;1;1;1;1
L51;10.1007/BF02907355;1993;Koziol & Borgtoft Pedersen;Phytelephas aequatorialis (Arecaceae) in Human and Animal Nutrition;Economic Botany;47(4):401-407;Phytelephas aequatorialis;Male inflorescence, fruit mesocarp and immature endosperm;Include;Food composition, sugar, pectin and fatty-acid analyses;"Mesocarp oils contained diverse fatty acids; sucrose was detected only in immature endosperm";BF02907355.pdf;1;1;1;2;25;16;13;2;2
L53;10.1016/0305-1978(94)90029-9;1994;Broschat & Latham;Oxalate Content of Palm Fruit Mesocarp;Biochemical Systematics and Ecology;22(4):389-392;60 Arecaceae species;Fresh ripe fruit mesocarp;Include;Targeted ion-chromatographic survey;Total oxalate was quantified in fruit mesocarp of 60 palm species;1-s2.0-0305197894900299-main.pdf;39;59;59;1;60;1;1;1;1
L54;10.1016/S0031-9422(00)85489-8;1986;Oo, Lee & Ong;Changes in Fatty Acid Composition of the Lipid Classes in Developing Oil Palm Mesocarp;Phytochemistry;25:405-407;Elaeis guineensis;Fruit mesocarp, 8-22 weeks after flowering;Include;Lipid-class TLC and FID-GC fatty-acid profiling;"Ten fatty acids were detected across development; total-lipid profiles and selected long-chain-acid values were transcribed";1-s2.0-S0031942200854898-main.pdf;1;1;1;1;11;11;9;2;2
L57;10.1021/NP50033A003;1984;Rao & Alvarez;The Sapogenin of Chamaedorea elegans;Journal of Natural Products;47:413-418;Chamaedorea elegans;Leaves;Include;Saponin isolation, hydrolysis and sapogenin structure elucidation;"Cannigenin was obtained as the aglycone of native leaf saponins; free cannigenin was not demonstrated";np50033a003.pdf;1;1;1;1;2;1;1;2;2
L60;10.1039/C39810000781;1981;Nonaka, Hsu & Nishioka;Structures of Dimeric, Trimeric, and Tetrameric Procyanidins from Areca catechu L.;Journal of the Chemical Society, Chemical Communications;781-783;Areca catechu;Seeds;Include;Chromatographic isolation, NMR and thiol degradation;"Ten flavan-3-ol/procyanidin constituents were isolated; four oligomers receive conservative first-characterization novelty flags";nonaka1981.pdf;1;1;1;1;10;10;3;1;3
L62;10.1021/NP50023A024;1982;Rao et al.;Antimicrobial Agents from Higher Plants. Dragon's Blood Resin;Journal of Natural Products;45:646-648;Daemonorops draco -> unresolved WCVP destination;Commercial dragon's blood resin;Include - taxonomic limitation;Chromatographic isolation and spectroscopic identification;"Five resin constituents were characterized; three blue pigments remained unidentified";np50023a024.pdf;0;0;1;1;5;5;4;1;3
L63;10.1021/NP50013A020;1981;Garcia et al.;Triterpenes, Waxes and Tricin in Phoenix canariensis;Journal of Natural Products;44:111-113;Phoenix canariensis;Leaves;Include;Fractionation, GC/GC-MS, spectroscopy and authentic comparisons;"Sixteen discrete native constituents were retained; wax methanolysis products remain quantitative composition only";np50013a020.pdf;1;1;1;1;23;23;22;4;7
L64;10.1007/BF02535295;1988;Ng & Koh;Detection of cis-Vaccenic Acid in Palm Oil by 13C NMR Spectroscopy;Lipids;23:140-143;"Elaeis oleifera; unresolved hybrid Dura GRC 395";Oil;Include;13C NMR and packed-column GC;"Cis-vaccenic acid was tentatively assigned; seven additional fatty acids were directly quantified in Elaeis oleifera oil";Lipids - 1988 - Ng - Detection ofcis-vaccenic acid in palm oil by13C NMR spectroscopy.pdf;1;1;2;1;9;8;7;1;1
L65;10.1016/0031-9422(88)84111-6;1988;Goh, Lai & Gee;Wax Esters and Triterpene Methyl Ethers from the Exocarp of Elaeis guineensis;Phytochemistry;27:877-880;Elaeis guineensis;"Fruit exocarp; crude palm oil comparator";Include;GC/GC-MS, NMR, MS and preparative chromatography;An intact C40-C60 wax-ester series, cylindrin and a tentative delta-12 cylindrin isomer were retained;1-s2.0-0031942288841116-main.pdf;1;1;1;2;24;23;8;3;3
L68;10.7717/peerj.5991;2018;Nonato et al.;Chemical analysis and evaluation of antioxidant and antimicrobial activities of fruit fractions of Mauritia flexuosa L. f. (Arecaceae);PeerJ;6:e5991;Mauritia flexuosa;Fruit pulp fractions;Include;Targeted HPLC-DAD and class assays;Eight phenolics quantified across chloroform, ethyl-acetate and ethanol fractions;Alves Nonato et al. - 2018 - Chemical analysis and evaluation of antioxidant and antimicrobial activities of fruit fractions of M.pdf;1;1;1;1;8;8;7;1;4
L69;10.3989/gya.0320251.2301;2025;Bozkurt;Machine learning analysis of fatty acid composition in Washingtonia filifera and Sabal palmetto palm kernels for potential industrial applications;Grasas y Aceites;76(2):2301;"Washingtonia filifera; Sabal palmetto";Mature fruit kernels;Include;GC-FID fatty-acid profiling / machine learning;"Oleic and lauric acids dominated both kernel oils; 23 fatty acids were targeted";Bozkurt - 2025 - Machine learning analysis of fatty acid composition in washingtonia filifera and sabal palmetto palm.pdf;2;2;2;1;41;21;21;1;1
L71;;2005;Galotta & Boaventura;Chemical constituents from roots and leaf stalks of acai (Euterpe precatoria Mart., Arecaceae);Quimica Nova;28(4):610-613;Euterpe precatoria;Roots and leaf stalks;Include;Isolation / structure identification;Thirteen named constituents isolated or identified, represented by 17 organ-specific occurrences;Galotta e Boaventura - 2005 - Chemical constituents from roots and leaf stalks of acai (Euterpe precatoria Mart., Arecaceae)..pdf;1;1;1;2;17;13;10;3;4
L72;10.1007/s44446-025-00017-3;2025;Hamed et al.;Polyphenolic profile, hepatoprotective evaluation, and molecular docking study of three palm tree species (Family Arecaceae);Saudi Pharmaceutical Journal;33:21;"Aiphanes eggersii; Carpoxylon macrospermum; Jubaeopsis caffra";Leaves;Include;Targeted HPLC-MS/MS / pharmacology;18, 25 and 28 standard-matched metabolites quantified in the three leaf extracts;Hamed et al. - 2025 - Polyphenolic profile, hepatoprotective evaluation, and molecular docking study of three palm tree sp.pdf;3;3;3;1;71;28;26;1;6
L74;10.1590/0100-29452017034;2017;Lopes Aguiar & do Amaral Souza;Dehydration and spraying of buriti pulp (Mauritia flexuosa L.): shelf-life evaluation;Revista Brasileira de Fruticultura;39(Spe.):e-034;Mauritia flexuosa;Fresh fruit pulp and dehydrated flour;Include;Fruit composition / processing;Alpha- and beta-carotene plus proximate composition were measured before and after dehydration;Lopes Aguiar e Do Amaral Souza - 2017 - DEHYDRATION AND SPRAYING OF BURITI PULP (Mauritia flexuosa L.) SHELF-LIFE EVALUATION.pdf;1;1;1;1;2;2;2;1;1
L76;10.1590/2175-8239-JBN-2021-0048;2022;Rodriguez-Salgueiro et al.;Benefits of D-005, a lipid extract from Acrocomia crispa fruits, in the prevention of acute kidney injury induced by nephrotoxicity in rats;Brazilian Journal of Nephrology;44(1):9-18;Acrocomia crispa;Saponified fruit-lipid extract;Include;GC fatty-acid characterization / pharmacology;Eight fatty acids accounted for 98.30% of the characterized D-005 batch;Rodriguez-Salgueiro et al. - 2022 - Benefits of D-005, a lipid extract from Acrocomia crispa fruits, in the prevention of acute kidney i.pdf;1;1;1;1;8;8;8;1;1
L77;10.1371/journal.pone.0342904;2026;Romero-Estevez et al.;High phenotypic and phytochemical diversity of Bactris gasipaes (Arecaceae) fruits in Ecuador;PLOS One;21:e0342904;Bactris gasipaes var. gasipaes;Fruit mesocarp;Include;Comparative fruit composition;110 fruits were profiled for proximate composition, beta-carotene, fatty acids, sterols, tocopherols and minerals;Romero-Estevez et al. - 2026 - High phenotypic and phytochemical diversity of Bactris gasipaes (Arecaceae) fruits in Ecuador.pdf;1;1;1;1;11;11;11;2;3
